@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}

@data
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',44,44,No
Male,1,Yes,No,32,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.9,2303.35,Yes
Male,0,Yes,Yes,72,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',75.4,5480.25,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.45,19.45,No
Male,0,No,No,23,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.45,481.1,No
Male,0,No,No,5,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.35,92.75,No
Female,0,Yes,Yes,72,Yes,No,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',108.65,7726.35,No
Male,0,No,No,44,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',19.5,835.5,No
Male,1,Yes,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Electronic check',74.3,74.3,No
Male,0,No,No,65,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',25.1,1725,No
Male,0,Yes,Yes,65,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,No,'Two year',No,'Credit card (automatic)',94.55,6078.75,No
Female,1,Yes,Yes,59,Yes,Yes,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',88.75,5348.65,No
Female,0,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,'Bank transfer (automatic)',60.85,2003.6,No
Female,0,No,No,1,No,'No phone service',DSL,No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',30.55,30.55,No
Male,1,Yes,No,8,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,'Bank transfer (automatic)',60.9,551.95,No
Male,1,Yes,No,69,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',109.95,7634.25,No
Female,1,No,No,2,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',70.2,115.95,Yes
Female,1,No,No,1,Yes,No,'Fiber optic',No,No,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',85,85,Yes
Female,0,Yes,No,49,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,'One year',No,'Electronic check',71.8,3472.05,No
Female,0,No,No,50,Yes,No,'Fiber optic',No,No,Yes,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',89.7,4304.5,No
Female,0,Yes,No,28,Yes,No,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,No,'Credit card (automatic)',89.9,2433.5,No
Male,0,Yes,Yes,69,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',19.9,1356.7,No
Male,0,Yes,Yes,69,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',114.35,7665.8,No
Male,0,No,Yes,41,Yes,No,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',111.15,4507.15,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.2,20.2,No
Male,0,No,No,13,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,No,'Mailed check',98.15,1230.25,Yes
Female,0,Yes,Yes,14,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Electronic check',70.2,1046.5,No
Female,0,Yes,Yes,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',25.1,1857.85,No
Male,0,Yes,Yes,69,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,No,'Two year',Yes,'Mailed check',92.15,6480.9,No
Female,0,No,No,12,Yes,Yes,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',79.8,1001.2,No
Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,'Electronic check',54.5,54.5,No
Female,0,No,No,15,Yes,No,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,'Electronic check',105.1,1582.75,Yes
Male,1,Yes,No,5,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',79.9,343.95,Yes
Male,0,No,No,35,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.25,677.9,No
Female,0,Yes,No,49,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,Yes,'Two year',No,'Credit card (automatic)',106.65,5174.35,No
Female,0,Yes,Yes,45,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',24.65,1138.8,No
Male,0,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',55.5,767.55,No
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,'Two year',Yes,'Credit card (automatic)',59.9,3505.1,No
Male,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,No,'Electronic check',79,143.65,Yes
Male,0,Yes,No,36,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.4,3474.2,No
Male,0,No,No,15,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',93.35,1444.65,Yes
Male,0,No,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',21.2,52.05,No
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,No,No,No,Yes,'One year',No,'Bank transfer (automatic)',65.2,4543.15,No
Male,0,No,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.8,58.15,Yes
Female,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.5,20.5,Yes
Female,0,No,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.5,74.5,Yes
Female,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',43.95,85.1,No
Male,0,Yes,Yes,21,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,No,'Electronic check',104.4,2157.95,Yes
Male,0,No,No,22,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',69.7,1490.4,No
Male,0,Yes,Yes,63,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',104.8,6597.25,No
Male,1,No,No,16,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',74.45,1261.35,No
Female,0,No,No,15,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',19.75,297.3,Yes
Female,0,No,No,46,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Electronic check',21.1,937.1,No
Female,0,Yes,No,39,No,'No phone service',DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,'Electronic check',55.9,2184.35,Yes
Female,1,No,No,2,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',84.05,186.05,No
Female,0,Yes,Yes,33,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',93.8,3124.5,Yes
Female,0,No,No,25,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.5,2369.05,Yes
Male,0,Yes,No,71,No,'No phone service',DSL,No,Yes,No,No,Yes,Yes,'Two year',No,'Electronic check',49.35,3515.25,Yes
Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,No,Yes,No,'One year',Yes,'Bank transfer (automatic)',59.75,1374.35,No
Male,0,Yes,Yes,22,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20.25,488.25,No
Male,0,Yes,Yes,45,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',95.95,4456.65,No
Male,0,No,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',19.45,69.25,No
Male,0,No,No,14,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.35,324.8,No
Male,0,Yes,No,64,Yes,Yes,DSL,Yes,No,No,No,Yes,No,'One year',Yes,'Credit card (automatic)',66.15,4392.5,No
Male,0,Yes,Yes,6,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.8,377.85,No
Male,0,Yes,No,25,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Bank transfer (automatic)',20.95,495.15,No
Male,1,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.05,70.05,No
Female,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,'Mailed check',49.4,232.55,No
Female,1,Yes,No,52,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',106.5,5621.85,No
Female,0,Yes,No,59,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,No,Month-to-month,No,'Electronic check',93.35,5386.5,No
Female,0,Yes,No,49,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Mailed check',100.85,4847.35,No
Female,1,Yes,No,1,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',90.6,90.6,Yes
Male,0,Yes,Yes,68,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',19.95,1303.25,No
Female,0,No,No,61,No,'No phone service',DSL,Yes,Yes,Yes,Yes,No,No,'One year',No,'Credit card (automatic)',43.7,2696.55,No
Male,1,No,No,63,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',109.4,7031.45,No
Male,0,No,No,55,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',77.8,4323.35,No
Female,0,Yes,Yes,5,Yes,No,'Fiber optic',No,No,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',85.75,470.95,Yes
Male,0,No,Yes,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',20.05,75.45,No
Male,0,No,No,19,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,'Credit card (automatic)',61.55,1093.2,No
Male,0,No,No,13,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,'Mailed check',73.35,931.55,No
Female,1,No,No,22,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,'Mailed check',69.75,1545.4,No
Male,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',59.65,683.25,No
Male,1,No,No,64,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',103.5,6548.65,No
Female,0,Yes,Yes,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',70.1,3913.3,Yes
Female,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Electronic check',68.95,119.75,Yes
Female,0,Yes,Yes,12,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,No,'Mailed check',29.2,309.1,Yes
Female,1,No,No,5,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',69.05,318.5,Yes
Female,0,No,No,21,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',99.15,1956.4,No
Female,0,No,No,42,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',105.2,4400.75,Yes
Male,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.35,69.35,Yes
Male,0,No,No,43,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',75.35,3161.4,No
Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,'Two year',Yes,'Credit card (automatic)',66.1,4428.45,No
Female,0,No,No,22,Yes,Yes,'Fiber optic',No,No,No,No,No,No,'One year',Yes,'Credit card (automatic)',76,1783.6,No
Female,0,Yes,No,68,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,No,No,'Two year',No,'Credit card (automatic)',90.2,6297.65,No
Male,0,Yes,No,17,No,'No phone service',DSL,No,No,Yes,Yes,Yes,Yes,'One year',No,'Electronic check',54.6,934.8,No
Female,0,No,No,1,Yes,No,'Fiber optic',Yes,Yes,No,Yes,No,No,Month-to-month,Yes,'Mailed check',83.4,83.4,No
Male,0,No,No,15,No,'No phone service',DSL,No,No,Yes,No,Yes,Yes,'One year',No,'Electronic check',50.75,688.2,No
Female,0,Yes,No,37,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,No,Yes,'One year',Yes,'Electronic check',99.2,3754.6,Yes
Male,0,No,No,3,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',29.6,79.45,Yes
Female,0,Yes,Yes,12,No,'No phone service',DSL,Yes,No,No,Yes,No,No,'One year',No,'Credit card (automatic)',33.15,444.75,No
Female,1,Yes,No,25,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',98.5,2514.5,Yes
Male,0,No,Yes,15,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',91,1430.05,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.75,19.75,No
Female,0,No,No,3,Yes,No,'Fiber optic',Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',99,287.4,Yes
Female,0,Yes,Yes,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',113.05,7869.05,No
Female,0,Yes,Yes,30,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.3,602.9,No
Male,0,No,No,63,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,No,'One year',No,'Credit card (automatic)',104.5,6590.8,No
Female,0,Yes,Yes,71,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',114.6,8100.25,No
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',45.95,45.95,Yes
Female,0,No,No,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.55,280.85,No
Female,0,Yes,No,56,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',85.6,4902.8,No
Male,0,No,No,1,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',86.6,86.6,Yes
Female,0,Yes,Yes,58,Yes,Yes,'Fiber optic',Yes,Yes,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',93.4,5435.6,Yes
Male,0,Yes,Yes,9,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.6,197.4,No
Male,0,Yes,No,54,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',30.4,1621.35,No
Male,0,No,No,18,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.25,331.35,No
Female,0,No,Yes,12,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',76.6,893,No
Male,0,No,No,12,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,'Bank transfer (automatic)',50.25,593.75,Yes
Male,0,Yes,Yes,60,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',110.6,6586.85,No
Male,0,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Credit card (automatic)',69.05,653.95,No
Female,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',50.45,50.45,Yes
Female,0,No,No,10,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Mailed check',19.8,198.25,No
Female,0,No,No,51,No,'No phone service',DSL,No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',56.4,2928.5,No
Male,0,No,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',55.8,274.35,No
Male,0,Yes,No,22,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',94.7,1914.9,Yes
Male,0,Yes,No,59,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,'One year',Yes,'Mailed check',69.1,4096.9,No
Male,0,Yes,Yes,27,Yes,Yes,'Fiber optic',Yes,Yes,No,Yes,Yes,No,Month-to-month,No,'Electronic check',100.75,2793.55,No
Female,0,No,No,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,'Bank transfer (automatic)',66.05,574.5,No
Male,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,'Two year',Yes,'Credit card (automatic)',65.65,3566.7,No
Male,0,No,No,7,No,'No phone service',DSL,No,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',35.5,249.55,No
Female,0,Yes,Yes,14,Yes,No,'Fiber optic',No,Yes,No,Yes,No,Yes,Month-to-month,Yes,'Credit card (automatic)',89.65,1208.35,Yes
Female,0,Yes,No,69,Yes,No,'Fiber optic',No,Yes,No,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',95.65,6744.2,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.15,20.15,Yes
Female,0,No,No,13,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Electronic check',19.65,244.8,No
Male,0,No,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',44.65,322.5,No
Male,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',54.65,1665.2,No
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',45.3,45.3,Yes
Female,0,No,No,6,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20,109.2,No
Female,0,Yes,No,56,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',No,'Bank transfer (automatic)',109.8,6109.65,No
Female,0,No,Yes,4,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,No,'Mailed check',89.6,365.65,Yes
Male,0,Yes,Yes,42,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.35,867.3,No
Male,0,Yes,Yes,34,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',97.7,3410,No
Male,1,No,No,68,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',20,1396,No
Male,0,Yes,Yes,60,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.65,1161.75,No
Male,0,No,No,72,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Electronic check',103.65,7634.8,No
Female,0,Yes,No,33,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',104.4,3409.6,Yes
Male,1,No,No,39,Yes,Yes,'Fiber optic',No,Yes,No,No,No,Yes,Month-to-month,No,'Electronic check',90.7,3413.25,No
Male,0,Yes,Yes,2,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',89.55,185.55,Yes
Female,1,No,Yes,33,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',105.35,3465.05,No
Female,0,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',86.45,5950.2,No
Female,0,No,No,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Mailed check',111.15,7737.55,No
Male,0,No,No,7,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Electronic check',73.6,520,Yes
Male,0,Yes,Yes,42,No,'No phone service',DSL,Yes,No,Yes,Yes,Yes,No,'Two year',No,'Credit card (automatic)',48.15,2032.3,No
Male,1,No,No,12,No,'No phone service',DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,'Electronic check',43.65,526.95,Yes
Male,0,No,No,62,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,No,Month-to-month,No,'Bank transfer (automatic)',90.7,5586.45,No
Female,0,Yes,Yes,62,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',106.05,6703.5,No
Male,0,Yes,No,56,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,'One year',No,'Credit card (automatic)',100.3,5614.45,Yes
Female,1,No,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',70.55,70.55,Yes
Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',50.05,179.35,Yes
Female,0,Yes,Yes,32,No,'No phone service',DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',35.15,1051.05,No
Female,0,Yes,Yes,65,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',110.8,7245.9,No
Male,0,No,No,10,No,'No phone service',DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Mailed check',33.9,298.45,Yes
Female,0,No,No,18,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',71.1,1247.75,No
Female,0,Yes,No,21,No,'No phone service',DSL,Yes,No,No,No,No,No,Month-to-month,No,'Electronic check',28.5,629.35,No
Male,0,Yes,No,66,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,Yes,'One year',Yes,'Electronic check',104.05,6890,Yes
Female,1,No,No,29,Yes,Yes,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,No,'Electronic check',98.65,2862.75,Yes
Male,0,No,Yes,39,No,'No phone service',DSL,Yes,No,No,Yes,Yes,No,'One year',No,'Bank transfer (automatic)',45.05,1790.6,No
Male,0,No,No,4,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.65,338.9,Yes
Male,0,No,No,11,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',74.55,824.75,Yes
Male,0,Yes,No,36,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Bank transfer (automatic)',20.85,720.05,No
Female,0,No,No,13,No,'No phone service',DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,'Electronic check',49.15,649.4,No
Male,0,Yes,No,36,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20,666.75,No
Male,1,No,No,36,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',90.85,3186.7,Yes
Male,0,Yes,Yes,35,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Electronic check',19.9,666,No
Female,0,No,Yes,31,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',20.1,589.25,No
Male,1,Yes,No,33,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',109.9,3694.7,No
Male,0,Yes,Yes,19,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',83.65,1465.75,Yes
Male,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,'Two year',No,'Bank transfer (automatic)',72.95,5265.55,No
Male,0,Yes,Yes,60,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',74.35,4453.3,No
Male,1,Yes,No,55,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74,4052.4,No
Male,0,Yes,No,66,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',105,7133.25,Yes
