@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42_clustered

@attribute Instance_number numeric
@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}
@attribute Cluster {cluster0,cluster1}

@data
1813,Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',89.4,5597.65,No,cluster0
1814,Male,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,'One year',Yes,'Bank transfer (automatic)',70.35,1201.65,No,cluster1
1815,Female,0,No,No,2,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Bank transfer (automatic)',18.75,53.15,No,cluster0
1816,Male,1,No,No,21,Yes,No,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',96.8,2030.3,Yes,cluster1
1817,Female,0,Yes,Yes,68,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',103.75,7039.45,No,cluster1
1818,Male,0,No,No,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.15,343.45,No,cluster0
1819,Male,0,No,Yes,15,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Electronic check',24.8,324.15,No,cluster0
1820,Male,1,No,No,24,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',101.25,2440.15,Yes,cluster1
1821,Female,0,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',50.65,151.3,Yes,cluster1
1822,Female,0,Yes,No,72,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',No,'Credit card (automatic)',109.15,7789.6,No,cluster1
1823,Female,0,No,No,29,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',98.6,2933.2,Yes,cluster1
1824,Male,0,No,No,3,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',80.35,253.8,No,cluster1
1825,Male,0,No,No,22,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.1,2162.6,No,cluster1
1826,Female,0,Yes,Yes,69,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',20.2,1412.65,No,cluster0
1827,Male,0,Yes,No,47,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',110.85,5275.8,Yes,cluster1
1828,Female,0,Yes,Yes,63,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',99.65,6311.2,No,cluster1
1829,Female,0,Yes,No,8,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,No,'Electronic check',101.15,842.9,Yes,cluster1
1830,Male,0,No,No,24,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.75,487.05,No,cluster0
1831,Male,0,Yes,No,65,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',91.85,5940.85,Yes,cluster1
1832,Male,0,No,No,1,Yes,Yes,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',81.7,81.7,Yes,cluster1
1833,Female,0,Yes,No,70,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',109.5,7674.55,Yes,cluster1
1834,Female,0,No,No,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',63.05,1067.05,No,cluster1
1835,Male,0,Yes,No,40,No,'No phone service',DSL,Yes,Yes,Yes,No,No,No,'One year',Yes,'Electronic check',42.35,1716.45,Yes,cluster1
1836,Female,1,No,No,8,Yes,Yes,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',100.15,908.55,No,cluster1
1837,Male,0,No,No,46,No,'No phone service',DSL,Yes,No,No,No,No,No,'One year',Yes,'Bank transfer (automatic)',30.75,1489.3,No,cluster1
1838,Female,0,Yes,No,61,Yes,Yes,'Fiber optic',No,Yes,No,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',94.35,5703,No,cluster1
1839,Male,0,Yes,Yes,28,Yes,No,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,No,'Electronic check',85.45,2289.9,No,cluster1
1840,Female,0,Yes,Yes,34,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,No,'Electronic check',87.45,2874.15,Yes,cluster1
1841,Female,1,No,No,16,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',96.15,1529.2,Yes,cluster1
1842,Male,0,Yes,No,59,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,'One year',No,'Electronic check',85.55,5084.65,Yes,cluster1
1843,Female,0,No,Yes,11,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',25.2,321.05,No,cluster1
1844,Male,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,No,No,'Two year',No,'Credit card (automatic)',60.5,3121.45,No,cluster0
1845,Male,0,Yes,No,13,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,'One year',Yes,'Mailed check',75.3,989.45,Yes,cluster1
1846,Female,0,Yes,No,3,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',94.9,273.2,No,cluster1
1847,Male,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,'Credit card (automatic)',69.7,516.15,No,cluster1
1848,Male,0,No,No,61,Yes,Yes,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'One year',No,'Electronic check',104,6363.45,No,cluster1
1849,Female,0,Yes,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',51.1,711.15,No,cluster1
1850,Male,0,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,'Electronic check',48.7,340.25,Yes,cluster1
1851,Female,0,No,No,5,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',84,424.75,No,cluster1
1852,Female,0,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',112.1,7965.95,No,cluster1
1853,Female,0,No,No,38,Yes,No,'Fiber optic',Yes,Yes,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',83.9,3233.6,Yes,cluster1
1854,Female,0,Yes,No,71,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',24.65,1710.15,No,cluster0
1855,Male,0,No,No,47,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,No,'One year',No,'Bank transfer (automatic)',94.8,4535.85,No,cluster1
1856,Male,0,Yes,Yes,56,Yes,No,DSL,Yes,Yes,Yes,No,No,No,'Two year',Yes,'Bank transfer (automatic)',59.8,3457.45,No,cluster1
1857,Male,0,No,No,3,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',78.5,242.05,Yes,cluster1
1858,Male,0,Yes,Yes,0,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.85,2283.300441,No,cluster0
1859,Male,0,No,No,27,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Mailed check',50.35,1411.35,No,cluster1
1860,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,'Mailed check',50.8,202.3,No,cluster1
1861,Female,0,No,No,39,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',103.45,3994.45,Yes,cluster1
1862,Female,0,No,Yes,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.65,69.65,Yes,cluster1
1863,Female,0,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',44.05,202.15,No,cluster1
1864,Male,1,No,No,9,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.05,678.45,No,cluster1
1865,Female,0,Yes,No,64,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',25.55,1714.95,No,cluster0
1866,Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,'One year',No,'Credit card (automatic)',59.1,772.85,No,cluster1
1867,Male,0,No,No,2,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,No,'Electronic check',74.95,151.75,No,cluster1
1868,Male,0,Yes,No,16,Yes,No,'Fiber optic',Yes,Yes,No,No,No,No,Month-to-month,No,'Bank transfer (automatic)',80.75,1321.3,No,cluster1
1869,Male,0,Yes,Yes,34,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,No,Month-to-month,Yes,'Electronic check',89.85,3091.75,No,cluster1
1870,Female,0,No,No,34,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',73.95,2524.45,Yes,cluster1
1871,Male,0,Yes,No,56,No,'No phone service',DSL,No,No,Yes,Yes,Yes,Yes,'One year',Yes,'Bank transfer (automatic)',54.05,2959.8,No,cluster1
1872,Female,0,No,No,31,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',76.05,2227.8,No,cluster1
1873,Male,0,Yes,No,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,No,'Two year',Yes,'Credit card (automatic)',99.35,6944.5,No,cluster1
1874,Male,0,No,No,43,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',101.4,4528,Yes,cluster1
1875,Female,0,Yes,Yes,7,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.65,134.05,No,cluster0
1876,Male,0,No,No,5,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.7,316.9,Yes,cluster1
1877,Male,0,Yes,Yes,40,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',81.2,3292.3,No,cluster1
1878,Male,0,No,No,13,Yes,No,'Fiber optic',No,Yes,Yes,No,No,No,Month-to-month,Yes,'Electronic check',79.8,973.45,Yes,cluster1
1879,Male,0,Yes,Yes,71,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,'One year',No,'Bank transfer (automatic)',100.55,7113.75,No,cluster1
1880,Female,0,No,No,22,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',26.25,605.9,No,cluster0
1881,Male,1,Yes,No,71,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',25.45,1789.65,No,cluster0
1882,Female,0,Yes,No,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',78.8,3460.3,No,cluster1
1883,Male,0,Yes,No,12,Yes,No,'Fiber optic',Yes,No,No,Yes,No,No,Month-to-month,No,'Bank transfer (automatic)',80.85,866.45,Yes,cluster1
1884,Male,1,No,No,49,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',96.2,4718.25,Yes,cluster1
1885,Male,0,No,No,16,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.75,284.35,No,cluster0
1886,Male,0,Yes,Yes,47,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',107.35,5118.95,Yes,cluster1
1887,Female,0,No,No,25,No,'No phone service',DSL,Yes,Yes,Yes,No,Yes,Yes,'One year',No,'Electronic check',61.05,1540.2,No,cluster1
1888,Male,1,Yes,No,17,Yes,No,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',76.45,1233.4,Yes,cluster1
1889,Female,0,No,No,56,Yes,No,DSL,Yes,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',60.25,3282.75,No,cluster1
1890,Female,0,No,No,4,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',105.65,443.9,Yes,cluster1
1891,Male,1,Yes,No,23,Yes,No,'Fiber optic',Yes,Yes,No,No,No,Yes,Month-to-month,Yes,'Electronic check',90,2024.1,No,cluster1
1892,Female,0,Yes,Yes,4,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',97.95,384.5,Yes,cluster1
1893,Female,0,Yes,No,59,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',109.15,6557.75,No,cluster1
1894,Female,0,No,No,60,No,'No phone service',DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',50.8,3027.4,Yes,cluster1
1895,Male,0,Yes,Yes,15,Yes,No,'Fiber optic',Yes,No,No,Yes,Yes,Yes,'One year',No,'Electronic check',101.9,1667.25,No,cluster1
1896,Female,1,Yes,No,8,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',84,613.4,Yes,cluster1
1897,Male,0,Yes,Yes,2,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Mailed check',69.95,143.9,No,cluster1
1898,Male,1,Yes,No,44,No,'No phone service',DSL,No,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',30.35,1359.7,Yes,cluster1
1899,Male,0,No,No,6,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,'Mailed check',60.9,414.1,No,cluster1
1900,Male,0,Yes,Yes,49,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',99.8,4872.45,Yes,cluster1
1901,Male,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,'Mailed check',62.05,62.05,Yes,cluster1
1902,Male,0,Yes,No,56,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,No,No,'One year',Yes,'Electronic check',93.15,5253.95,No,cluster1
1903,Female,0,No,Yes,14,Yes,Yes,'Fiber optic',Yes,No,No,Yes,No,No,Month-to-month,Yes,'Mailed check',86,1164.05,No,cluster1
1904,Female,0,No,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',49.5,1265.65,No,cluster1
1905,Female,0,Yes,Yes,30,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',107.5,3242.5,No,cluster1
1906,Male,0,Yes,No,61,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,No,Month-to-month,No,'Bank transfer (automatic)',99.4,5943.65,No,cluster1
1907,Female,0,No,No,27,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.15,501.35,No,cluster0
1908,Male,0,No,No,11,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.5,226.8,No,cluster0
1909,Female,0,No,No,70,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',79.6,5589.45,No,cluster1
1910,Female,0,Yes,Yes,57,Yes,No,DSL,Yes,No,Yes,Yes,No,No,'One year',Yes,'Mailed check',59.3,3274.35,No,cluster1
1911,Male,1,Yes,No,7,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',74.4,527.9,Yes,cluster1
1912,Male,0,Yes,Yes,13,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Mailed check',19.85,252,No,cluster0
1913,Female,1,Yes,No,59,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,No,'One year',Yes,'Electronic check',94.05,5483.9,No,cluster1
1914,Female,0,No,No,71,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Mailed check',111.3,7985.9,No,cluster1
1915,Male,0,No,No,11,No,'No phone service',DSL,No,No,Yes,No,Yes,No,'One year',Yes,'Electronic check',41.6,470.6,Yes,cluster1
1916,Male,1,Yes,No,43,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',101,4388.4,Yes,cluster1
1917,Female,0,Yes,Yes,52,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Electronic check',20.4,1090.65,No,cluster0
1918,Male,1,No,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,'One year',No,'Mailed check',54,1055.9,No,cluster1
1919,Female,1,Yes,No,26,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',93.85,2381.55,Yes,cluster1
1920,Male,0,Yes,No,60,Yes,No,'Fiber optic',No,Yes,No,No,Yes,Yes,'One year',Yes,'Electronic check',94.4,5610.25,Yes,cluster1
1921,Female,0,No,No,22,Yes,No,DSL,No,Yes,Yes,No,Yes,No,'One year',No,'Bank transfer (automatic)',65.25,1441.8,No,cluster1
1922,Female,0,No,No,47,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',20.25,1029.8,No,cluster0
1923,Female,0,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,'Electronic check',64.6,174.2,No,cluster1
1924,Female,0,No,No,1,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',90.6,90.6,Yes,cluster1
1925,Male,1,No,No,9,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',83.85,790.15,Yes,cluster1
1926,Male,0,Yes,No,65,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,'Two year',No,'Bank transfer (automatic)',76.15,4929.55,No,cluster0
1927,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,'Two year',No,'Credit card (automatic)',77.55,5574.35,No,cluster0
1928,Male,0,No,No,50,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Credit card (automatic)',20.15,989.05,No,cluster0
1929,Female,0,No,No,17,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,No,'Bank transfer (automatic)',80.05,1345.65,No,cluster1
1930,Male,0,No,No,10,Yes,No,'Fiber optic',Yes,No,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',98.9,1064.95,No,cluster1
1931,Male,0,No,No,43,Yes,Yes,'Fiber optic',No,No,No,Yes,Yes,Yes,'One year',Yes,'Electronic check',100,4211.55,Yes,cluster1
1932,Male,0,No,No,21,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',84.1,1737.45,No,cluster1
1933,Male,0,Yes,Yes,40,Yes,Yes,'Fiber optic',Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',110.1,4469.1,No,cluster1
1934,Female,0,Yes,No,34,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',100.45,3414.65,No,cluster1
1935,Female,1,No,No,32,Yes,No,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',90.95,2897.95,No,cluster1
1936,Male,0,Yes,Yes,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',21,1493.75,No,cluster0
1937,Male,0,No,No,19,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',18.8,279.2,No,cluster0
1938,Male,0,No,No,28,Yes,No,'Fiber optic',No,Yes,No,Yes,Yes,No,'One year',Yes,'Bank transfer (automatic)',91.25,2483.65,No,cluster1
1939,Male,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',79.95,174.45,No,cluster1
1940,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,'One year',No,'Credit card (automatic)',62.7,2791.5,Yes,cluster1
1941,Female,0,No,No,61,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',106.6,6428.4,Yes,cluster1
1942,Female,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,'Bank transfer (automatic)',59.45,780.85,No,cluster1
1943,Female,0,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Electronic check',115.15,8349.7,No,cluster1
1944,Male,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,'Two year',No,'Credit card (automatic)',68.95,4858.7,No,cluster1
1945,Male,0,Yes,Yes,43,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'One year',Yes,'Credit card (automatic)',104.3,4451.85,No,cluster1
1946,Female,0,Yes,Yes,10,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Bank transfer (automatic)',19.8,196.75,No,cluster0
1947,Female,0,No,Yes,15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,'One year',No,'Credit card (automatic)',65.6,1010,No,cluster1
1948,Male,0,Yes,No,22,Yes,No,'Fiber optic',No,No,Yes,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',87,1850.65,No,cluster1
1949,Male,0,Yes,No,49,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',93.85,4733.1,No,cluster1
1950,Female,0,No,No,60,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,'One year',No,'Electronic check',64.75,4039.5,No,cluster1
1951,Female,0,Yes,Yes,57,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',84.5,4845.4,No,cluster1
1952,Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.95,19.95,No,cluster0
1953,Female,1,Yes,No,50,Yes,Yes,'Fiber optic',No,No,No,Yes,Yes,Yes,'One year',Yes,'Electronic check',100.65,5189.75,No,cluster1
1954,Female,0,No,No,67,Yes,No,DSL,Yes,Yes,No,Yes,No,No,'One year',No,'Credit card (automatic)',60.5,3870,No,cluster1
1955,Male,0,Yes,No,8,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,Yes,'Bank transfer (automatic)',19.55,161.15,No,cluster0
1956,Male,1,Yes,No,70,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'One year',Yes,'Electronic check',104.8,7308.95,No,cluster1
1957,Male,0,Yes,No,35,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,'One year',Yes,'Electronic check',69,2441.7,No,cluster1
1958,Female,0,No,Yes,41,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',88.5,3645.05,No,cluster1
1959,Female,1,No,No,35,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,No,'Electronic check',70.55,2419,No,cluster1
1960,Female,1,No,No,26,Yes,No,'Fiber optic',Yes,No,No,No,Yes,No,Month-to-month,Yes,'Credit card (automatic)',85.8,2193.65,No,cluster1
1961,Male,1,Yes,No,72,Yes,Yes,'Fiber optic',Yes,Yes,Yes,Yes,No,No,'Two year',Yes,'Bank transfer (automatic)',93.05,6735.05,No,cluster1
1962,Male,0,No,No,32,Yes,No,'Fiber optic',No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',96.2,3183.4,Yes,cluster1
1963,Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Mailed check',51.2,51.2,No,cluster1
1964,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Bank transfer (automatic)',88.05,6520.8,No,cluster0
1965,Male,1,Yes,No,54,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Electronic check',110.45,6077.75,No,cluster1
1966,Male,1,Yes,No,23,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',104.45,2184.85,No,cluster1
1967,Female,1,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',82.7,5831.2,No,cluster1
1968,Female,1,No,No,60,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',106,6441.4,Yes,cluster1
1969,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',45.85,81,Yes,cluster1
1970,Female,0,No,No,50,No,'No phone service',DSL,No,Yes,Yes,Yes,No,No,'Two year',No,'Credit card (automatic)',39.7,1932.75,No,cluster1
1971,Female,0,No,No,5,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Mailed check',93.9,486.85,Yes,cluster1
1972,Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',48.8,953.65,No,cluster1
1973,Female,0,No,No,61,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Credit card (automatic)',88.65,5321.25,No,cluster1
1974,Male,0,Yes,No,64,Yes,Yes,'Fiber optic',No,Yes,No,Yes,Yes,Yes,'Two year',Yes,'Electronic check',105.25,6823.4,No,cluster1
1975,Male,0,No,No,24,Yes,Yes,'Fiber optic',No,Yes,Yes,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',84.85,2048.8,No,cluster1
1976,Male,1,Yes,No,2,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Mailed check',86.85,156.35,Yes,cluster1
